Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14514314,2021-05-14 22:29:36,2021-05-14 22:03:09,22127369,4425473800,22127369,200,1382,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514314/SRR14514314.lite.1,SRX10859828,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955304,SAMN19129796,simple,9606,Homo sapiens,GSM5293030,,,,,,,no,,,,,GEO,SRA1231583,,public,DED49F32E00F315157485C04FA986B29,7890A0EF14FE3DCCA8656B61D089324B
SRR14514315,2021-05-14 22:29:36,2021-05-14 22:02:32,22171866,4434373200,22171866,200,1398,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514315/SRR14514315.lite.1,SRX10859829,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955305,SAMN19129795,simple,9606,Homo sapiens,GSM5293031,,,,,,,no,,,,,GEO,SRA1231583,,public,E7953E8C50F3C85C2D4EAD882921EA0E,ADCD30B1B4D39F1D726B0310F949CA2D
SRR14514316,2021-05-14 22:29:36,2021-05-14 22:12:03,46358468,9271693600,46358468,200,2927,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514316/SRR14514316.lite.1,SRX10859830,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955306,SAMN19129794,simple,9606,Homo sapiens,GSM5293032,,,,,,,no,,,,,GEO,SRA1231583,,public,323D8EA2A80A8565AC829AC5CB613CCC,B403AAA2DACE5118B6833124A667A7F8
SRR14514317,2021-05-14 22:29:36,2021-05-14 22:02:51,21360803,4272160600,21360803,200,1345,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514317/SRR14514317.lite.1,SRX10859831,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955307,SAMN19129793,simple,9606,Homo sapiens,GSM5293033,,,,,,,no,,,,,GEO,SRA1231583,,public,45CD7E3EEFEC3D34B173B68296F9F37E,56795C01ED75471BB2DBCC73D6BD8D78
SRR14514318,2021-05-14 22:07:16,2021-05-14 22:04:28,22181985,4436397000,22181985,200,1402,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514318/SRR14514318.lite.1,SRX10859832,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955308,SAMN19129792,simple,9606,Homo sapiens,GSM5293034,,,,,,,no,,,,,GEO,SRA1231583,,public,9B0D07A36583C1A022588D75D8DCE9E5,3949A8EF62178F44596C21C1965D5844
SRR14514319,2021-05-14 22:07:16,2021-05-14 22:04:24,32756545,6551309000,32756545,200,2059,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514319/SRR14514319.lite.1,SRX10859833,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955309,SAMN19129791,simple,9606,Homo sapiens,GSM5293035,,,,,,,no,,,,,GEO,SRA1231583,,public,B89B8BC37BA5B49FE3A1CFA44B20F57C,A1EDC5148A300D90FC380646AD742F23
SRR14514320,2021-05-14 22:29:36,2021-05-14 22:08:26,34432440,6886488000,34432440,200,2152,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514320/SRR14514320.lite.1,SRX10859834,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955310,SAMN19129790,simple,9606,Homo sapiens,GSM5293036,,,,,,,no,,,,,GEO,SRA1231583,,public,73D4A9E3A41BF4DE4859775DDC10346F,98C284969BECEAC7719043F727BC3876
SRR14514321,2021-05-14 22:07:16,2021-05-14 22:03:51,24099460,4819892000,24099460,200,1523,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514321/SRR14514321.lite.1,SRX10859835,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955311,SAMN19129789,simple,9606,Homo sapiens,GSM5293037,,,,,,,no,,,,,GEO,SRA1231583,,public,AF308B460DDF7AA6F95B4051D6B97292,3F09A38C0A6C3C123249254E1AB45BE8
SRR14514322,2021-05-14 22:07:16,2021-05-14 22:03:55,24046590,4809318000,24046590,200,1516,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514322/SRR14514322.lite.1,SRX10859836,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955313,SAMN19129788,simple,9606,Homo sapiens,GSM5293038,,,,,,,no,,,,,GEO,SRA1231583,,public,CD3EEDBDDEBB627268F75BC60C9D81C9,DFD312A80697650986CC795E82456679
SRR14514323,2021-05-14 22:29:36,2021-05-14 22:04:28,35508873,7101774600,35508873,200,2225,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514323/SRR14514323.lite.1,SRX10859837,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955312,SAMN19129787,simple,9606,Homo sapiens,GSM5293039,,,,,,,no,,,,,GEO,SRA1231583,,public,05B87837FB688CC7F953806CCED58843,2DDC5A9F916351C79E19B5FC40CE4CD8
SRR14514324,2021-05-14 22:07:16,2021-05-14 22:04:46,28962119,5792423800,28962119,200,1815,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514324/SRR14514324.lite.1,SRX10859838,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955314,SAMN19129786,simple,9606,Homo sapiens,GSM5293040,,,,,,,no,,,,,GEO,SRA1231583,,public,D7DA972698A7DD82E4073334C1BFBF91,E082606CDDB923FC22E9EBF0A9064D8E
SRR14514325,2021-05-14 22:29:37,2021-05-14 22:10:14,44694376,8938875200,44694376,200,2778,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514325/SRR14514325.lite.1,SRX10859839,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955315,SAMN19129785,simple,9606,Homo sapiens,GSM5293041,,,,,,,no,,,,,GEO,SRA1231583,,public,85D585FF0E1AFFCA4D6B522F560C27CE,71D5DB8E0ADEBD8F79E68E65B6240F43
SRR14514326,2021-05-14 22:29:37,2021-05-14 22:06:50,35108115,7021623000,35108115,200,2204,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514326/SRR14514326.lite.1,SRX10859840,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955316,SAMN19129784,simple,9606,Homo sapiens,GSM5293042,,,,,,,no,,,,,GEO,SRA1231583,,public,7F166FDC29AC3F394EE2053E9B98B22E,6D79CC8806567E0D8C601F5085408326
SRR14514327,2021-05-14 22:29:37,2021-05-14 22:07:21,29060118,5812023600,29060118,200,1819,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514327/SRR14514327.lite.1,SRX10859841,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955317,SAMN19129783,simple,9606,Homo sapiens,GSM5293043,,,,,,,no,,,,,GEO,SRA1231583,,public,9D658E9E1C86EF4B6834A5DFD8762E0C,8E9712664FA6465ACFF13A377708B817
SRR14514328,2021-05-14 22:29:37,2021-05-14 22:04:50,26668215,5333643000,26668215,200,1679,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514328/SRR14514328.lite.1,SRX10859842,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955318,SAMN19129782,simple,9606,Homo sapiens,GSM5293044,,,,,,,no,,,,,GEO,SRA1231583,,public,98D3F89B8D1273623D4AD0CC64B78C4A,102F3F8C5E2D35ADD9FAFA78B92548C9
SRR14514329,2021-05-14 22:29:37,2021-05-14 22:04:58,30027890,6005578000,30027890,200,1875,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514329/SRR14514329.lite.1,SRX10859843,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955319,SAMN19129781,simple,9606,Homo sapiens,GSM5293045,,,,,,,no,,,,,GEO,SRA1231583,,public,178137422B736A8CDAC228DB4732587A,4E38110D7D97AEE71D55D1C9EFF873B8
SRR14514330,2021-05-14 22:29:37,2021-05-14 22:03:55,20514191,4102838200,20514191,200,1279,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514330/SRR14514330.lite.1,SRX10859844,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955322,SAMN19129780,simple,9606,Homo sapiens,GSM5293046,,,,,,,no,,,,,GEO,SRA1231583,,public,BF9E712ABA323702BC4265F9A464998E,690D6CDA5F2BC2B0D4AD48EA1E1FEB8F
SRR14514331,2021-05-14 22:29:37,2021-05-14 22:04:57,31685164,6337032800,31685164,200,1965,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514331/SRR14514331.lite.1,SRX10859845,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955321,SAMN19129779,simple,9606,Homo sapiens,GSM5293047,,,,,,,no,,,,,GEO,SRA1231583,,public,18CD7715D0A6269F17283DE4F2518EC3,12960468FB7E53D9589F9A6092D1942A
SRR14514332,2021-05-14 22:29:37,2021-05-14 22:08:02,34259261,6851852200,34259261,200,2121,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514332/SRR14514332.lite.1,SRX10859846,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955320,SAMN19129778,simple,9606,Homo sapiens,GSM5293048,,,,,,,no,,,,,GEO,SRA1231583,,public,5086386C4231BA2BAD7192B2C84DADC8,C295E0DFE003571472FA2736AAE7332A
SRR14514333,2021-05-14 22:29:37,2021-05-14 22:09:19,40640678,8128135600,40640678,200,2551,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514333/SRR14514333.lite.1,SRX10859847,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955323,SAMN19129777,simple,9606,Homo sapiens,GSM5293049,,,,,,,no,,,,,GEO,SRA1231583,,public,A7495EDF5966A5F1107B746EA3DDE706,FD0BD2D657A3E3B153A64DC6AAAF10E0
